0,1,2,3
181.4165691,60,35.43307517,4
176.2157035,51,37.43307517,3
176.8353829,61,47.43307517,3
177.5431217,63,49.43307517,4
185.9548178,85,61.43307517,5
183.8178071,79,65.43307517,4
186.7519613,107,65.43307517,6
187.0452832,95,71.43307517,5
183.9567653,86,72.43307517,5
187.6525943,86,72.43307517,5
188.2703048,103,79.43307517,7
185.6679543,96,82.43307517,6
187.8151205,97,83.43307517,6
187.1222228,123,83.43307517,8
185.8742703,98,84.43307517,5
188.7676335,98,84.43307517,5
187.14094,100,86.43307517,5
187.7396599,102,88.43307517,6
188.6667745,102,88.43307517,5
186.4101993,118,89.43307517,7
186.3355659,104,90.43307517,6
189.9471566,119,90.43307517,6
191.1035857,115,91.43307517,5
187.525673,105,91.43307517,6
189.3500077,106,92.43307517,5
188.0131029,106,92.43307517,7
186.5154281,107,93.43307517,6
186.0107428,107,93.43307517,7
188.2101473,108,94.43307517,7
184.7398123,109,95.43307517,8
189.5010961,111,97.43307517,7
188.5356095,112,98.43307517,7
191.1762624,113,99.43307517,5
191.1530014,113,99.43307517,5
190.7140254,114,100.4330752,5
191.312067,114,100.4330752,5
188.1260709,115,101.4330752,7
190.9296389,115,101.4330752,5
191.0979479,115,101.4330752,5
191.0071923,115,101.4330752,5
190.768718,115,101.4330752,5
190.8853846,116,102.4330752,5
190.9738315,117,103.4330752,5
190.8517607,117,103.4330752,5
191.4868811,118,104.4330752,5
190.7490582,118,104.4330752,5
190.1198376,121,107.4330752,8
191.6216339,123,109.4330752,6
191.4058034,123,109.4330752,6
191.165539,124,110.4330752,6
191.4894578,125,111.4330752,6
191.4123159,125,111.4330752,6
191.7218338,125,111.4330752,5
191.0485831,126,112.4330752,6
190.8764106,126,112.4330752,6
191.7512199,126,112.4330752,6
191.4514877,127,113.4330752,5
191.5089249,128,114.4330752,6
191.2659079,129,115.4330752,6
191.3158789,129,115.4330752,6
191.4977872,129,115.4330752,7
191.5765778,130,116.4330752,6
189.4913345,130,116.4330752,7
191.6196894,131,117.4330752,7
191.7470968,136,118.4330752,8
191.8882035,132,118.4330752,7
191.6164866,133,119.4330752,7
192.1024844,137,119.4330752,8
192.4330926,133,119.4330752,6
191.6469238,135,121.4330752,6
191.4327534,135,121.4330752,7
191.3927498,135,121.4330752,7
191.3721223,135,121.4330752,7
192.0950297,136,122.4330752,7
192.1356082,136,122.4330752,7
192.0244332,136,122.4330752,7
191.8847274,137,123.4330752,7
192.1972521,137,123.4330752,6
192.0141555,137,123.4330752,7
191.8684582,137,123.4330752,7
192.1438021,148,124.4330752,8
192.2100075,139,125.4330752,7
192.3005903,139,125.4330752,6
192.2575542,139,125.4330752,8
192.0516033,139,125.4330752,7
191.8916825,140,126.4330752,7
192.2191029,145,127.4330752,9
192.2141326,151,127.4330752,7
191.6862755,141,127.4330752,6
192.189708,141,127.4330752,7
191.9437457,141,127.4330752,6
192.4264494,141,127.4330752,7
191.7735113,142,128.4330752,8
191.9702159,147,129.4330752,8
192.3311057,143,129.4330752,7
191.8902146,144,130.4330752,8
192.2055578,144,130.4330752,7
192.8482347,145,131.4330752,7
192.4455329,145,131.4330752,7
192.3536123,145,131.4330752,7
192.565243,145,131.4330752,7
192.5958724,146,132.4330752,7
192.3093883,147,133.4330752,7
192.6803816,147,133.4330752,8
193.3492851,147,133.4330752,7
192.6572739,147,133.4330752,7
192.5115706,148,134.4330752,7
192.6748674,148,134.4330752,7
192.2200416,149,135.4330752,9
192.9228276,149,135.4330752,7
192.5055451,150,136.4330752,7
193.175901,150,136.4330752,8
192.4299493,151,137.4330752,7
192.6355729,152,138.4330752,8
192.558496,153,139.4330752,8
192.5004163,153,139.4330752,7
192.9258757,153,139.4330752,8
192.2001206,154,140.4330752,7
192.6676408,154,140.4330752,9
192.6206919,154,140.4330752,8
192.9275408,154,140.4330752,7
192.8336918,155,141.4330752,8
193.0571465,155,141.4330752,8
193.0965146,156,142.4330752,7
192.330156,156,142.4330752,8
194.1131777,156,142.4330752,8
193.2705844,156,142.4330752,8
193.2077626,156,142.4330752,8
193.1911409,158,143.4330752,9
192.6790007,162,144.4330752,9
192.8600264,159,145.4330752,7
193.2455416,163,145.4330752,8
193.5643177,159,145.4330752,9
192.9153885,160,146.4330752,8
192.7080367,170,146.4330752,10
193.2545559,164,146.4330752,9
193.4117918,160,146.4330752,7
193.4050623,160,146.4330752,8
193.436936,160,146.4330752,9
193.878204,161,147.4330752,9
192.8740563,161,147.4330752,8
194.2480636,161,147.4330752,7
193.046606,162,148.4330752,9
194.0223423,164,150.4330752,8
193.8376303,164,150.4330752,8
193.2572537,164,150.4330752,9
193.3638905,164,150.4330752,8
193.2405145,164,150.4330752,8
193.3178089,165,151.4330752,9
192.7517742,166,152.4330752,8
194.0325658,166,152.4330752,8
193.4564227,168,154.4330752,9
193.8450317,168,154.4330752,8
194.079699,168,154.4330752,10
193.784367,168,154.4330752,9
194.1623822,169,155.4330752,9
193.9815045,169,155.4330752,9
193.920203,169,155.4330752,9
194.8854051,169,155.4330752,9
194.0130334,170,156.4330752,10
193.2661028,170,156.4330752,8
193.32928,180,156.4330752,11
194.8101316,180,156.4330752,11
194.4690186,171,157.4330752,9
195.3147067,171,157.4330752,9
194.7353453,171,157.4330752,9
194.7793928,171,157.4330752,10
193.2266261,172,158.4330752,9
194.1391995,173,158.4330752,10
193.4087976,172,158.4330752,9
193.6180245,176,158.4330752,10
194.2655897,172,158.4330752,8
194.3741198,174,160.4330752,9
194.4997608,175,161.4330752,8
195.2318399,175,161.4330752,9
195.5471515,175,161.4330752,8
195.1661512,175,161.4330752,10
194.6469525,175,161.4330752,8
194.9665367,176,162.4330752,8
193.5962791,186,162.4330752,11
193.4791755,176,162.4330752,9
193.8024717,176,162.4330752,9
195.0882106,195,162.4330752,12
195.6434974,176,162.4330752,8
195.1780347,177,163.4330752,8
195.4348532,177,163.4330752,10
195.2629074,177,163.4330752,9
196.0450332,178,164.4330752,9
193.6872556,183,165.4330752,11
194.2294938,179,165.4330752,9
194.8177728,179,165.4330752,9
194.3505456,179,165.4330752,9
195.8193457,183,165.4330752,10
193.9091756,180,166.4330752,10
193.6429588,180,166.4330752,11
194.070987,180,166.4330752,9
195.38782,180,166.4330752,10
195.5983389,180,166.4330752,9
195.3073318,180,166.4330752,12
196.5127498,180,166.4330752,10
195.2063891,181,167.4330752,8
196.2550883,192,167.4330752,11
196.1651012,181,167.4330752,9
196.1365567,182,168.4330752,9
194.7451735,186,168.4330752,11
193.9312276,182,168.4330752,10
195.5341928,182,168.4330752,10
194.7787376,184,170.4330752,11
194.2361026,184,170.4330752,10
194.2787293,184,170.4330752,9
195.0171339,184,170.4330752,10
196.8218694,184,170.4330752,8
196.7434891,185,171.4330752,10
193.909958,186,172.4330752,11
195.6709986,186,172.4330752,9
194.9803374,186,172.4330752,10
197.051377,186,172.4330752,10
195.9634728,186,172.4330752,10
196.0579962,187,173.4330752,10
195.7899445,188,174.4330752,9
194.9988037,189,175.4330752,10
195.5377506,189,175.4330752,9
196.0925145,189,175.4330752,9
197.5109117,190,176.4330752,10
196.8724224,190,176.4330752,9
194.0464647,191,177.4330752,9
195.4538041,191,177.4330752,11
196.4957848,192,178.4330752,11
194.9961894,192,178.4330752,11
196.6405865,192,178.4330752,10
197.1203037,192,178.4330752,10
197.9486387,193,178.6283539,10
195.4360205,193,179.4330752,11
195.9402692,193,179.4330752,11
195.0950647,194,180.4330752,10
197.42337,194,180.4330752,9
195.2511912,194,180.4330752,10
196.0618929,194,180.4330752,11
197.2531435,194,180.4330752,10
195.3729227,195,181.4330752,10
198.6829222,195,181.4330752,10
195.8636276,195,181.4330752,10
195.6936172,195,181.4330752,10
195.0085187,195,181.4330752,10
197.9183336,196,182.4330752,9
196.2309619,196,182.4330752,10
197.4438227,197,183.4330752,10
195.3736855,197,183.4330752,11
195.4336707,197,183.4330752,9
196.0945131,197,183.4330752,10
196.4173105,197,183.4330752,11
196.8014872,208,183.4330752,11
197.5193523,197,183.4330752,10
198.7423471,198,184.4330752,10
198.0107522,198,184.4330752,9
197.8862492,198,184.4330752,10
195.4752604,199,185.4330752,11
195.4048454,199,185.4330752,11
196.7246733,199,185.4330752,12
196.6834428,203,185.4330752,11
197.2012097,200,186.4330752,11
196.6315073,200,186.4330752,12
199.0016013,200,186.4330752,10
199.2591884,201,187.4330752,11
196.4947864,201,187.4330752,11
197.0760008,201,187.4330752,9
195.4989014,202,188.4330752,11
195.6428375,203,189.4330752,11
196.8213823,203,189.4330752,10
197.9691577,203,189.4330752,11
196.7429034,203,189.4330752,12
196.3765397,208,190.4330752,12
198.6593723,204,190.4330752,10
199.3731102,204,190.4330752,11
197.1126519,204,190.4330752,11
199.2471726,204,190.4330752,10
197.5226392,205,191.4330752,10
197.5744219,205,191.4330752,11
198.6477672,205,191.4330752,11
199.897008,206,192.4330752,11
195.5477725,206,192.4330752,10
197.3873877,206,192.4330752,10
197.3090639,206,192.4330752,10
197.4835039,211,193.4330752,12
197.8283382,207,193.4330752,10
200.1545121,207,193.4330752,10
197.7019482,207,193.4330752,10
197.528247,208,194.4330752,11
199.4405226,208,194.4330752,12
198.5080018,208,194.4330752,11
196.3473131,209,195.4330752,11
195.7971393,209,195.4330752,10
197.4281841,209,195.4330752,12
196.1460072,209,195.4330752,11
197.9194605,211,197.4330752,11
198.0147406,211,197.4330752,10
197.1309535,211,197.4330752,13
197.6302636,211,197.4330752,11
202.0010139,212,198.4330752,11
198.8559184,212,198.4330752,11
197.6134614,212,198.4330752,11
197.8375469,212,198.4330752,11
199.1723648,212,198.4330752,10
197.142007,213,199.4330752,12
198.5657951,214,200.4330752,12
199.8869855,214,200.4330752,11
197.6662891,214,200.4330752,11
199.436854,214,200.4330752,10
200.9576731,214,200.4330752,10
199.5256291,215,201.4330752,11
199.820724,215,201.4330752,11
200.8540772,215,201.4330752,12
200.1487626,215,201.4330752,10
200.2446773,215,201.4330752,10
203.1784449,216,202.4330752,11
204.0018413,216,202.4330752,11
202.6335692,217,203.4330752,11
200.8692675,217,203.4330752,11
197.9395333,217,203.4330752,11
198.548316,217,203.4330752,10
197.1608524,217,203.4330752,12
201.1983903,217,203.4330752,11
203.8731637,218,204.4330752,12
199.1127178,218,204.4330752,10
200.7641293,218,204.4330752,11
200.2171651,218,204.4330752,11
201.1609156,218,204.4330752,11
201.0106929,218,204.4330752,11
195.974574,219,205.4330752,11
200.4682735,219,205.4330752,10
199.0234903,219,205.4330752,10
200.7315089,219,205.4330752,11
201.8873327,220,206.4330752,11
204.2502071,221,207.4330752,11
196.5461864,221,207.4330752,11
204.4613208,221,207.4330752,12
201.8823785,222,208.4330752,12
197.8419984,222,208.4330752,11
200.8258355,222,208.4330752,12
205.8313808,222,208.4330752,11
198.2765231,223,209.4330752,11
199.3343551,223,209.4330752,12
200.6944122,224,210.4330752,10
200.0342153,224,210.4330752,11
198.8526665,225,211.4330752,11
197.0553424,225,211.4330752,12
199.7022967,225,211.4330752,10
201.9602112,226,212.4330752,11
203.7437605,226,212.4330752,12
200.2176793,226,212.4330752,11
200.578509,226,212.4330752,12
201.2485018,226,212.4330752,11
201.9337274,227,213.4330752,11
200.9271415,227,213.4330752,11
203.3363996,227,213.4330752,11
204.9621705,227,213.4330752,12
201.7466329,228,214.4330752,11
199.0808657,229,215.4330752,11
197.8886031,230,216.4330752,12
201.8622087,230,216.4330752,12
202.946851,230,216.4330752,10
205.2423352,231,217.4330752,12
203.2563656,231,217.4330752,10
204.7290432,231,217.4330752,11
202.3233482,233,219.4330752,11
201.8739509,233,219.4330752,13
206.0358731,233,219.4330752,12
202.1937823,234,220.4330752,12
